id,demand
0,life_health
1,motor
2,life_health
3,life_health
4,travel
5,travel
6,life_health
7,motor
8,life_health
9,life_health
10,motor
11,motor
12,life_health
13,motor
14,life_health
15,life_health
16,travel
17,motor
18,travel
19,travel
20,life_health
21,motor
22,life_health
23,life_health
24,life_health
25,motor
26,motor
27,life_health
28,motor
29,motor
30,life_health
31,life_health
32,life_health
33,travel
34,travel
35,life_health
36,travel
37,life_health
38,life_health
39,life_health
40,life_health
41,travel
42,life_health
43,life_health
44,motor
45,life_health
46,life_health
47,motor
48,life_health
49,life_health
50,life_health
51,travel
52,motor
53,life_health
54,motor
55,life_health
56,travel
57,life_health
58,life_health
59,motor
60,motor
61,motor
62,travel
63,travel
64,motor
65,life_health
66,motor
67,travel
68,motor
69,life_health
70,motor
71,life_health
72,motor
73,motor
74,travel
75,travel
76,life_health
77,motor
78,life_health
79,motor
80,life_health
81,motor
82,life_health
83,life_health
84,life_health
85,life_health
86,life_health
87,life_health
88,life_health
89,travel
90,life_health
91,life_health
92,motor
93,life_health
94,life_health
95,life_health
96,life_health
97,motor
98,life_health
99,life_health
100,life_health
101,life_health
102,life_health
103,motor
104,travel
105,life_health
106,life_health
107,life_health
108,life_health
109,motor
110,life_health
111,life_health
112,motor
113,life_health
114,life_health
115,motor
116,life_health
117,life_health
118,life_health
119,life_health
120,motor
121,life_health
122,travel
123,life_health
124,life_health
125,life_health
126,life_health
127,life_health
128,life_health
129,life_health
130,life_health
131,motor
132,life_health
133,life_health
134,life_health
135,motor
136,life_health
137,motor
138,travel
139,life_health
140,life_health
141,life_health
142,travel
143,travel
144,motor
145,life_health
146,travel
147,travel
148,motor
149,motor
150,motor
151,life_health
152,travel
153,motor
154,motor
155,life_health
156,life_health
157,life_health
158,motor
159,life_health
160,life_health
161,life_health
162,life_health
163,life_health
164,travel
165,travel
166,life_health
167,life_health
168,life_health
169,life_health
170,motor
171,travel
172,motor
173,motor
174,motor
175,travel
176,motor
177,motor
178,life_health
179,life_health
180,life_health
181,life_health
182,life_health
183,life_health
184,life_health
185,travel
186,life_health
187,motor
188,motor
189,life_health
190,life_health
191,life_health
192,life_health
193,life_health
194,travel
195,motor
196,motor
197,motor
198,motor
199,life_health
200,motor
201,travel
202,life_health
203,life_health
204,life_health
205,travel
206,life_health
207,life_health
208,life_health
209,life_health
210,travel
211,travel
212,motor
213,life_health
214,motor
215,life_health
216,life_health
217,life_health
218,life_health
219,life_health
220,life_health
221,life_health
222,life_health
223,travel
224,travel
225,motor
226,life_health
227,life_health
228,motor
229,motor
230,travel
231,travel
232,life_health
233,travel
234,travel
235,travel
236,motor
237,life_health
238,motor
239,motor
240,travel
241,travel
242,life_health
243,travel
244,motor
245,motor
246,motor
247,life_health
248,motor
249,motor
250,travel
251,life_health
252,motor
253,motor
254,life_health
255,travel
256,life_health
257,motor
258,life_health
259,travel
260,life_health
261,travel
262,motor
263,life_health
264,life_health
265,travel
266,life_health
267,motor
268,life_health
269,travel
270,life_health
271,motor
272,life_health
273,life_health
274,life_health
275,life_health
276,travel
277,motor
278,travel
279,life_health
280,life_health
281,travel
282,motor
283,life_health
284,motor
285,motor
286,motor
287,motor
288,life_health
289,travel
290,travel
291,motor
292,life_health
293,motor
294,travel
295,life_health
296,travel
297,travel
298,life_health
299,life_health
300,life_health
301,life_health
302,motor
303,life_health
304,motor
305,life_health
306,life_health
307,life_health
308,travel
309,life_health
310,motor
311,life_health
312,life_health
313,life_health
314,life_health
315,life_health
316,life_health
317,life_health
318,motor
319,motor
320,travel
321,life_health
322,motor
323,life_health
324,travel
325,life_health
326,life_health
327,motor
328,motor
329,travel
330,motor
331,travel
332,travel
333,life_health
334,life_health
335,motor
336,motor
337,life_health
338,life_health
339,travel
340,motor
341,life_health
342,life_health
343,motor
344,travel
345,life_health
346,travel
347,travel
348,life_health
349,travel
350,motor
351,travel
352,life_health
353,life_health
354,motor
355,life_health
356,motor
357,motor
358,life_health
359,motor
360,life_health
361,life_health
362,motor
363,motor
364,life_health
365,life_health
366,travel
367,life_health
368,travel
369,life_health
370,motor
371,motor
372,motor
373,life_health
374,travel
375,life_health
376,travel
377,life_health
378,motor
379,life_health
380,travel
381,life_health
382,life_health
383,life_health
384,life_health
385,motor
386,motor
387,life_health
388,life_health
389,motor
390,motor
391,motor
392,life_health
393,motor
394,motor
395,travel
396,life_health
397,life_health
398,life_health
399,travel
400,travel
401,motor
402,life_health
403,life_health
404,travel
405,life_health
406,life_health
407,life_health
408,motor
409,life_health
410,life_health
411,life_health
412,motor
413,motor
414,motor
415,life_health
416,life_health
417,life_health
418,travel
419,motor
420,life_health
421,travel
422,motor
423,motor
424,motor
425,life_health
426,motor
427,life_health
428,motor
429,travel
430,life_health
431,life_health
432,travel
433,motor
434,travel
435,life_health
436,motor
437,motor
438,travel
439,life_health
440,life_health
441,travel
442,life_health
443,life_health
444,travel
445,motor
446,motor
447,travel
448,life_health
449,travel
450,motor
451,life_health
452,life_health
453,life_health
454,motor
455,life_health
456,motor
457,life_health
458,motor
459,motor
460,motor
461,life_health
462,motor
463,motor
464,life_health
465,motor
466,life_health
467,motor
468,motor
469,life_health
470,motor
471,life_health
472,motor
473,life_health
474,travel
475,travel
476,travel
477,life_health
478,life_health
479,life_health
480,life_health
481,life_health
482,travel
483,life_health
484,life_health
485,life_health
486,motor
487,life_health
488,life_health
489,life_health
490,life_health
491,life_health
492,life_health
493,motor
494,life_health
495,travel
