customer_id,agent_id
1,0
2,0
3,0
11,0
12,0
13,0
16,0
19,0
23,0
29,0
34,0
36,0
38,0
39,0
43,0
44,0
61,0
63,0
64,0
66,0
78,0
80,0
82,0
85,0
86,0
87,0
92,0
98,0
99,0
105,0
109,0
110,0
112,0
113,0
117,0
118,0
121,0
125,0
130,0
133,0
150,0
151,0
152,0
153,0
155,0
156,0
161,1
162,1
168,1
171,1
176,1
181,1
184,1
186,1
188,1
190,1
199,1
202,1
203,1
206,1
208,1
218,1
221,1
222,1
234,1
236,1
237,1
239,1
240,1
242,1
250,1
253,1
255,1
256,1
258,1
261,1
263,1
264,1
265,1
270,1
279,1
280,1
281,1
286,1
288,1
290,1
292,1
299,1
300,1
304,1
305,1
312,1
315,1
316,1
318,1
319,1
320,1
323,1
326,1
330,1
334,1
335,1
340,1
342,1
346,2
348,2
349,2
354,2
357,2
358,2
359,2
360,2
362,2
374,2
375,2
380,2
382,2
383,2
389,2
390,2
393,2
394,2
395,2
397,2
403,2
408,2
409,2
412,2
415,2
416,2
418,2
420,2
421,2
422,2
427,2
429,2
432,2
436,2
437,2
440,2
441,2
444,2
446,2
449,2
450,2
453,2
454,2
456,2
461,2
463,2
468,2
476,2
484,2
485,2
491,2
498,2
505,2
508,2
522,2
527,2
533,2
537,2
544,2
552,2
553,2
557,2
564,2
565,2
566,2
568,4
571,4
573,4
574,4
579,4
580,4
588,4
589,4
590,4
591,4
601,4
606,4
609,4
610,4
612,4
618,4
624,4
629,4
631,4
633,4
634,4
635,4
638,4
641,4
644,4
645,4
650,4
652,4
661,4
665,4
666,4
671,4
679,4
680,4
682,4
684,4
689,4
697,4
698,4
703,4
704,4
705,4
711,4
714,4
719,4
721,4
730,4
735,4
737,4
743,4
746,4
753,4
754,4
755,4
758,4
759,5
760,5
762,5
766,5
768,5
773,5
774,5
775,5
777,5
780,5
788,5
793,5
797,5
799,5
804,5
805,5
808,5
819,5
827,5
828,5
833,5
838,5
839,5
841,5
843,5
844,5
846,5
857,5
859,5
861,5
862,5
863,5
865,5
867,5
872,5
880,5
887,5
888,5
890,5
895,5
897,8
900,8
914,8
916,8
936,8
937,8
941,8
943,8
954,8
959,8
964,8
965,8
967,8
968,8
969,8
